µü»y,µüÀW,µüÅv
information,74,33%
source,55,24%
auditors,37,16%
objectivity,34,15%
review,29,13%
audit,25,11%
were,24,10%
process,24,10%
preparers,20,9%
study,18,8%
more,18,8%
reviewers,17,7%
was,17,7%
than,15,6%
studies,15,6%
client,14,6%
accounts,14,6%
two,14,6%
independent,14,6%
their,13,5%
credit,13,5%
those,13,5%
allowance,12,5%
agency,12,5%
sensitive,11,4%
role,11,4%
sensitivity,11,4%
preparer,11,4%
reviewer,11,4%
Trotman,11,4%
between,11,4%
they,10,4%
either,10,4%
found,10,4%
provided,10,4%
both,10,4%
who,10,4%
results,10,4%
days,10,4%
Auditing,9,4%
less,9,4%
whether,9,4%
data,9,4%
1985,9,4%
1994,9,4%
amount,9,4%
Accounting,9,4%
making,8,3%
objective,8,3%
task,8,3%
processing,8,3%
highly,8,3%
did,8,3%
Journal,7,3%
Spring,7,3%
Information,7,3%
reliability,7,3%
sources,7,3%
tion,7,3%
auditor,7,3%
significant,7,3%
competence,7,3%
re,7,3%
been,7,3%
current,7,3%
120,7,3%
judgments,6,2%
informa,6,2%
differences,6,2%
experiment,6,2%
uncollectible,6,2%
decision,6,2%
These,6,2%
firms,6,2%
when,6,2%
its,6,2%
Hirst,6,2%
tivity,6,2%
Joyce,6,2%
Biddle,6,2%
1981,6,2%
following,6,2%
our,6,2%
subjects,6,2%
ofthe,6,2%
effects,6,2%
intemal,6,2%
41,6,2%
Uncollectible,6,2%
Joumal,6,2%
Research,6,2%
Reimers,5,2%
Fennema,5,2%
standards,5,2%
evidence,5,2%
use,5,2%
should,5,2%
test,5,2%
will,5,2%
new,5,2%
asked,5,2%
suggest,5,2%
may,5,2%
different,5,2%
important,5,2%
ob,5,2%
report,5,2%
competent,5,2%
1980,5,2%
based,5,2%
objec,5,2%
involved,5,2%
control,5,2%
Since,5,2%
design,5,2%
also,5,2%
interaction,5,2%
other,5,2%
would,5,2%
attention,5,2%
revisions,5,2%
20,5,2%
040,5,2%
Allowance,5,2%
Practice,4,1%
Theory,4,1%
1999,4,1%
Audit,4,1%
aspect,4,1%
examine,4,1%
Specifically,4,1%
workpaper,4,1%
adequacy,4,1%
roles,4,1%
assigned,4,1%
receivable,4,1%
given,4,1%
while,4,1%
procedures,4,1%
about,4,1%
ability,4,1%
individual,4,1%
providing,4,1%
do,4,1%
Anderson,4,1%
greater,4,1%
AICPA,4,1%
credibility,4,1%
hypothesis,4,1%
identifying,4,1%
used,4,1%
consistent,4,1%
support,4,1%
level,4,1%
experience,4,1%
these,4,1%
identify,4,1%
same,4,1%
collection,4,1%
analytical,4,1%
came,4,1%
persuasion,4,1%
tasks,4,1%
balance,4,1%
revise,4,1%
Auditors,4,1%
dollar,4,1%
Independent,4,1%
Accounts,4,1%
91,4,1%
your,4,1%
YES,4,1%
Autumn,4,1%
No,3,1%
Source,3,1%
consider,3,1%
so,3,1%
receive,3,1%
evaluating,3,1%
cause,3,1%
reviewing,3,1%
findings,3,1%
function,3,1%
beyond,3,1%
initial,3,1%
performed,3,1%
team,3,1%
Although,3,1%
Yetton,3,1%
Libby,3,1%
1993,3,1%
value,3,1%
auditing,3,1%
Rich,3,1%
Koonce,3,1%
described,3,1%
member,3,1%
firm,3,1%
entity,3,1%
within,3,1%
con,3,1%
propose,3,1%
likely,3,1%
prediction,3,1%
literature,3,1%
context,3,1%
previous,3,1%
reduce,3,1%
They,3,1%
tended,3,1%
recall,3,1%
considered,3,1%
judgment,3,1%
im,3,1%
hypotheses,3,1%
another,3,1%
benefit,3,1%
generation,3,1%
related,3,1%
generally,3,1%
low,3,1%
man,3,1%
over,3,1%
main,3,1%
variables,3,1%
responses,3,1%
difficult,3,1%
above,3,1%
make,3,1%
involvement,3,1%
paid,3,1%
details,3,1%
cues,3,1%
difference,3,1%
system,3,1%
part,3,1%
aging,3,1%
schedule,3,1%
them,3,1%
idea,3,1%
served,3,1%
proportion,3,1%
estimates,3,1%
50,3,1%
simple,3,1%
Credit,3,1%
Agency,3,1%
Plumlee,3,1%
systems,3,1%
might,3,1%
caused,3,1%
total,3,1%
recommend,3,1%
22,3,1%
up,3,1%
ALLOWANCE,3,1%
27,3,1%
080,3,1%
Personality,3,1%
Social,3,1%
Psychology,3,1%
Organizations,3,1%
Society,3,1%
18,2,0%
Review,2,0%
Process,2,0%
Objectivity,2,0%
Jane,2,0%
require,2,0%
quality,2,0%
effect,2,0%
varies,2,0%
tween,2,0%
cognitive,2,0%
serves,2,0%
second,2,0%
authors,2,0%
regarding,2,0%
statement,2,0%
assess,2,0%
purpose,2,0%
assure,2,0%
relatively,2,0%
1997,2,0%
judg,2,0%
ments,2,0%
Competence,2,0%
jectivity,2,0%
Professor,2,0%
com,2,0%
chief,2,0%
fmancial,2,0%
officer,2,0%
evidential,2,0%
matter,2,0%
assurance,2,0%
AU,2,0%
Studies,2,0%
documented,2,0%
functions,2,0%
working,2,0%
papers,2,0%
social,2,0%
psychology,2,0%
indi,2,0%
viduals,2,0%
attend,2,0%
stud,2,0%
ies,2,0%
discuss,2,0%
designed,2,0%
benefits,2,0%
models,2,0%
how,2,0%
variance,2,0%
improve,2,0%
iden,2,0%
iewe,2,0%
ers,2,0%
becomes,2,0%
find,2,0%
ings,2,0%
view,2,0%
ing,2,0%
available,2,0%
Ismail,2,0%
1995,2,0%
examined,2,0%
generate,2,0%
performing,2,0%
cal,2,0%
able,2,0%
plausible,2,0%
regardless,2,0%
potential,2,0%
since,2,0%
upon,2,0%
Bamber,2,0%
1983,2,0%
Rebele,2,0%
1988,2,0%
manipulated,2,0%
limited,2,0%
being,2,0%
manager,2,0%
tors,2,0%
inventory,2,0%
included,2,0%
tests,2,0%
conditions,2,0%
comparisons,2,0%
makes,2,0%
Our,2,0%
focus,2,0%
possibility,2,0%
Johnson,2,0%
Scileppi,2,0%
1969,2,0%
Rhine,2,0%
Severance,2,0%
1970,2,0%
Chaiken,2,0%
sub,2,0%
jects,2,0%
systematic,2,0%
specific,2,0%
argument,2,0%
such,2,0%
Subjects,2,0%
five,2,0%
experimental,2,0%
order,2,0%
staff,2,0%
determine,2,0%
discussed,2,0%
shows,2,0%
indicated,2,0%
probability,2,0%
variable,2,0%
revised,2,0%
percent,2,0%
made,2,0%
520,2,0%
3.15,2,0%
076,2,0%
no,2,0%
proportions,2,0%
0.00,2,0%
1.000,2,0%
significantly,2,0%
036,2,0%
could,2,0%
analyzed,2,0%
identified,2,0%
reviewed,2,0%
21,2,0%
40,2,0%
Difference,2,0%
valuable,2,0%
research,2,0%
cue,2,0%
portant,2,0%
act,2,0%
1998,2,0%
Role,2,0%
Condition,2,0%
regular,2,0%
year,2,0%
end,2,0%
summarizes,2,0%
balances,2,0%
gives,2,0%
percentages,2,0%
historically,2,0%
estimated,2,0%
using,2,0%
below,2,0%
Age,2,0%
Under,2,0%
60,2,0%
61,2,0%
90,2,0%
Over,2,0%
Amount,2,0%
400,2,0%
77,2,0%
300,2,0%
180,2,0%
Percent,2,0%
15,2,0%
Just,2,0%
before,2,0%
complete,2,0%
reliable,2,0%
date,2,0%
past,2,0%
states,2,0%
believes,2,0%
full,2,0%
owe,2,0%
cases,2,0%
delay,2,0%
payment,2,0%
seems,2,0%
problems,2,0%
companies,2,0%
computer,2,0%
corrected,2,0%
few,2,0%
weeks,2,0%
Will,2,0%
estimate,2,0%
NO,2,0%
circle,2,0%
answered,2,0%
what,2,0%
now,2,0%
12,2,0%
versus,2,0%
752,2,0%
attitude,2,0%
change,2,0%
Vol,1,0%
RESEARCH,1,0%
NOTES,1,0%
Sensitivity,1,0%
SUMMARY,1,0%
reiiability,1,0%
More,1,0%
th,1,0%
ird,1,0%
parties,1,0%
provide,1,0%
higher,1,0%
ones,1,0%
personnel,1,0%
perform,1,0%
depending,1,0%
doubtful,1,0%
hypothesized,1,0%
After,1,0%
calculating,1,0%
reconsider,1,0%
original,1,0%
Results,1,0%
indicate,1,0%
processes,1,0%
simply,1,0%
opinion,1,0%
Key,1,0%
Words,1,0%
Data,1,0%
Availability,1,0%
Contact,1,0%
availability,1,0%
typical,1,0%
engagement,1,0%
INTRODUCTION,1,0%
makers,1,0%
judge,1,0%
validity,1,0%
financial,1,0%
assertions,1,0%
subsequently,1,0%
hierarchical,1,0%
structure,1,0%
some,1,0%
addressed,1,0%
effectiveness,1,0%
little,1,0%
known,1,0%
relative,1,0%
costs,1,0%
incurred,1,0%
partners,1,0%
managers,1,0%
engaged,1,0%
etal,1,0%
Another,1,0%
issue,1,0%
deci,1,0%
sion,1,0%
deals,1,0%
technical,1,0%
defined,1,0%
likelihood,1,0%
infonnation,1,0%
truthfully,1,0%
Examinations,1,0%
former,1,0%
dimension,1,0%
gen,1,0%
erally,1,0%
rely,1,0%
Associate,1,0%
Assistant,1,0%
Florida,1,0%
State,1,0%
University,1,0%
wish,1,0%
acknowledge,1,0%
helpful,1,0%
Lisa,1,0%
Jay,1,0%
anonymous,1,0%
viewers,1,0%
editor,1,0%
118,1,0%
et,1,0%
al,1,0%
studied,1,0%
varying,1,0%
independence,1,0%
dividtial,1,0%
example,1,0%
state,1,0%
obtained,1,0%
outside,1,0%
provides,1,0%
reli,1,0%
purposes,1,0%
secured,1,0%
solely,1,0%
326,1,0%
Therefore,1,0%
sider,1,0%
insensitivity,1,0%
major,1,0%
premise,1,0%
differs,1,0%
Spe,1,0%
cifically,1,0%
influenced,1,0%
fmd,1,0%
conceming,1,0%
sections,1,0%
outline,1,0%
further,1,0%
develop,1,0%
UTERATURE,1,0%
REVIEW,1,0%
many,1,0%
aimed,1,0%
Early,1,0%
statis,1,0%
tical,1,0%
weighted,1,0%
accu,1,0%
racy,1,0%
multi,1,0%
person,1,0%
went,1,0%
tifying,1,0%
repa,1,0%
rs,1,0%
rev,1,0%
judgmen,1,0%
ts,1,0%
inconsistent,1,0%
beneficial,1,0%
because,1,0%
effective,1,0%
rela,1,0%
ive,1,0%
ly,1,0%
mo,1,0%
ce,1,0%
rned,1,0%
form,1,0%
concerned,1,0%
checking,1,0%
consistency,1,0%
against,1,0%
pact,1,0%
analyti,1,0%
number,1,0%
represents,1,0%
larger,1,0%
set,1,0%
increases,1,0%
chances,1,0%
cor,1,0%
rect,1,0%
attempts,1,0%
build,1,0%
possible,1,0%
creased,1,0%
relate,1,0%
reliabil,1,0%
ity,1,0%
section,1,0%
identifies,1,0%
Most,1,0%
investigating,1,0%
concentrated,1,0%
describing,1,0%
per,1,0%
son,1,0%
well,1,0%
trained,1,0%
experienced,1,0%
training,1,0%
petence,1,0%
place,1,0%
weight,1,0%
ceived,1,0%
119,1,0%
Fewer,1,0%
directed,1,0%
toward,1,0%
jec,1,0%
iv,1,0%
ty,1,0%
component,1,0%
early,1,0%
prob,1,0%
Using,1,0%
sen,1,0%
sitive,1,0%
Audi,1,0%
roups,1,0%
ed,1,0%
roba,1,0%
bility,1,0%
distinguish,1,0%
agement,1,0%
explanations,1,0%
third,1,0%
party,1,0%
recent,1,0%
scenario,1,0%
explaining,1,0%
why,1,0%
overstated,1,0%
levels,1,0%
yielding,1,0%
Post,1,0%
hoc,1,0%
showed,1,0%
three,1,0%
infor,1,0%
mation,1,0%
combination,1,0%
compe,1,0%
tence,1,0%
components,1,0%
interpretation,1,0%
Both,1,0%
conducted,1,0%
concems,1,0%
increased,1,0%
sensi,1,0%
dis,1,0%
cussion,1,0%
outlines,1,0%
HYPOTHESIS,1,0%
there,1,0%
lead,1,0%
jerforming,1,0%
comes,1,0%
decisions,1,0%
depends,1,0%
processed,1,0%
ner,1,0%
paying,1,0%
great,1,0%
deal,1,0%
arguments,1,0%
presented,1,0%
relation,1,0%
clusion,1,0%
persuasive,1,0%
Less,1,0%
mapping,1,0%
exact,1,0%
believe,1,0%
parallels,1,0%
close,1,0%
enough,1,0%
en,1,0%
gaged,1,0%
METHOD,1,0%
hundred,1,0%
sixty,1,0%
intemational,1,0%
accounting,1,0%
participated,1,0%
four,1,0%
unrelated,1,0%
exercises,1,0%
ex,1,0%
perimental,1,0%
booklet,1,0%
first,1,0%
exercise,1,0%
evaluation,1,0%
experi,1,0%
ment,1,0%
administered,1,0%
monthly,1,0%
meeting,1,0%
distributed,1,0%
retumed,1,0%
mail,1,0%
demographics,1,0%
due,1,0%
method,1,0%
seniors,1,0%
agers,1,0%
average,1,0%
6.8,1,0%
years,1,0%
had,1,0%
Task,1,0%
Procedure,1,0%
au,1,0%
dit,1,0%
earlier,1,0%
explicitly,1,0%
operationalized,1,0%
jective,1,0%
out,1,0%
side,1,0%
326.21,1,0%
chose,1,0%
manipulation,1,0%
shown,1,0%
appen,1,0%
dix,1,0%
consisted,1,0%
historical,1,0%
calculate,1,0%
ac,1,0%
counts,1,0%
Those,1,0%
identical,1,0%
but,1,0%
already,1,0%
calculated,1,0%
subordinate,1,0%
Addi,1,0%
tional,1,0%
coUectibility,1,0%
large,1,0%
ei,1,0%
ther,1,0%
indepen,1,0%
dent,1,0%
appendix,1,0%
dependent,1,0%
cred,1,0%
cond,1,0%
ion,1,0%
positive,1,0%
collecting,1,0%
vise,1,0%
want,1,0%
de,1,0%
pendent,1,0%
dichotomous,1,0%
representing,1,0%
subject,1,0%
RESULTS,1,0%
table,1,0%
85,1,0%
80,1,0%
Except,1,0%
receiving,1,0%
approximately,1,0%
half,1,0%
audi,1,0%
ceiving,1,0%
only,1,0%
22.5,1,0%
reduction,1,0%
additional,1,0%
became,1,0%
Overall,1,0%
show,1,0%
Further,1,0%
investigation,1,0%
revi,1,0%
sions,1,0%
ever,1,0%
fewer,1,0%
revising,1,0%
38,1,0%
expected,1,0%
ten,1,0%
Conceptually,1,0%
amounts,1,0%
along,1,0%
However,1,0%
zero,1,0%
lack,1,0%
count,1,0%
DISCUSSION,1,0%
CONCLUSION,1,0%
consis,1,0%
tent,1,0%
individuals,1,0%
differently,1,0%
finding,1,0%
sign,1,0%
col,1,0%
lection,1,0%
Comparing,1,0%
his,1,0%
seem,1,0%
involve,1,0%
thus,1,0%
comparable,1,0%
His,1,0%
revealed,1,0%
121,1,0%
TABLE1,1,0%
Number,1,0%
Who,1,0%
Revised,1,0%
Their,1,0%
Estimates,1,0%
Preparerff,1,0%
Rev,1,0%
Client,1,0%
48.8%,1,0%
44,1,0%
47.7%,1,0%
22.5%,1,0%
50.0%,1,0%
Chi,1,0%
Square,1,0%
4.38,1,0%
attempt,1,0%
manipulate,1,0%
formation,1,0%
compare,1,0%
own,1,0%
tify,1,0%
weaknesses,1,0%
He,1,0%
